ODBIORCY_ID_FK;KONTA_STATUSY_SYMBOL;DOKUMENT_ID;DOKUMENT_NUMER;KWOTA_BRUTTO_ORYGINAL;KWOTA_NETTO_ORYGINAL;KWOTA_VAT_ORYGINAL;KWOTA_POZOSTALA;DATA_WYSTAWIENIA;DATA_ZAPLATY;DATA_KSIEGOWANIA
1087716;K;23292589;1705022497;-1,28;-1,05;-0,23;-1,28;10/03/2014 00:00:00;24/03/2014 00:00:00;08/11/2018 00:00:00
1087896;K;23164094;0135022022;-0,64;-0,52;-0,12;-0,64;10/01/2014 00:00:00;24/01/2014 00:00:00;08/11/2018 00:00:00
1087959;K;7490050;4730195940;-33,03;-26,86;-6,17;-33,03;05/05/2015 00:00:00;05/05/2015 00:00:00;08/11/2018 00:00:00
1088109;K;23152521;4045408157;-395,53;-321,57;-73,96;-340,35;24/06/2013 00:00:00;24/06/2013 00:00:00;08/11/2018 00:00:00
1088417;K;28264938;8410347680;-191,96;-156,04;-35,92;-181,73;25/06/2013 00:00:00;09/07/2013 00:00:00;08/11/2018 00:00:00
1088480;K;23128930;4225014825;-429;-348,79;-80,21;-43,69;28/01/2014 00:00:00;11/02/2014 00:00:00;08/11/2018 00:00:00
1088672;K;23171497;1335021843;-0,31;-0,25;-0,06;-0,31;28/04/2014 00:00:00;12/05/2014 00:00:00;08/11/2018 00:00:00
1088691;K;23491303;1335022129;-1,35;-1,1;-0,25;-1,35;04/06/2014 00:00:00;18/06/2014 00:00:00;08/11/2018 00:00:00
1088810;K;28281245;9316089686;-118,27;-96,18;-22,09;-116,07;20/01/2014 00:00:00;03/02/2014 00:00:00;08/11/2018 00:00:00
1089216;K;23165273;1335015782;-51,17;-41,59;-9,58;-20,44;22/03/2013 00:00:00;22/03/2013 00:00:00;08/11/2018 00:00:00
1089216;K;23165274;1335015783;-34,21;-27,83;-6,38;-34,21;22/03/2013 00:00:00;05/04/2013 00:00:00;08/11/2018 00:00:00
1089836;K;23163521;4125087737;-50,45;-41;-9,45;-49,3;06/03/2013 00:00:00;20/03/2013 00:00:00;08/11/2018 00:00:00
1089959;K;23305233;1805004097;-109,43;-88,97;-20,46;-16,93;07/09/2012 00:00:00;07/09/2012 00:00:00;08/11/2018 00:00:00
1089959;K;28092807;1805004093;-13,12;-10,75;-2,37;-13,12;07/09/2012 00:00:00;07/09/2012 00:00:00;08/11/2018 00:00:00
1089979;K;23150500;8410403887;-4,63;-3,76;-0,87;-4,63;30/07/2013 00:00:00;13/08/2013 00:00:00;08/11/2018 00:00:00
1090017;K;23283436;1335021443;-9,42;-7,68;-1,74;-9,42;28/03/2014 00:00:00;11/04/2014 00:00:00;08/11/2018 00:00:00
1090038;K;23286709;4225017920;-492,96;-400,78;-92,18;-201,34;25/03/2014 00:00:00;25/03/2014 00:00:00;08/11/2018 00:00:00
1090189;K;23168692;1105055158;-192,17;-156,24;-35,93;-192,17;30/11/2012 00:00:00;30/11/2012 00:00:00;08/11/2018 00:00:00
1090228;K;23292568;8410904295;-94,96;-77,2;-17,76;-16,37;06/03/2014 00:00:00;06/03/2014 00:00:00;08/11/2018 00:00:00
1090543;K;23292564;9530523732;-90,96;-73,98;-16,98;-90,96;04/03/2014 00:00:00;18/03/2014 00:00:00;08/11/2018 00:00:00
1090601;K;7523922;4740047988;-16,84;-13,8;-3,04;-16,84;18/09/2015 00:00:00;18/09/2015 00:00:00;08/11/2018 00:00:00
1091112;K;23131593;9480444858;-5,95;-4,86;-1,09;-5,95;10/10/2013 00:00:00;24/10/2013 00:00:00;08/11/2018 00:00:00
1091648;K;7618687;7812397422;-226,35;-184,49;-41,86;-74,23;05/11/2015 00:00:00;05/11/2015 00:00:00;08/11/2018 00:00:00
1091648;K;7618690;7812397425;-157,08;-127,71;-29,37;-157,08;05/11/2015 00:00:00;05/11/2015 00:00:00;08/11/2018 00:00:00
1092212;K;23173161;1405013518;-98,48;-80,08;-18,4;-98,48;12/10/2012 00:00:00;26/10/2012 00:00:00;08/11/2018 00:00:00
1093084;K;23692141;4225021320;-110,2;-89,6;-20,6;-81,19;23/05/2014 00:00:00;23/05/2014 00:00:00;08/11/2018 00:00:00
1093592;K;28103978;5035010462;-11,75;-9,54;-2,21;-11,75;06/11/2013 00:00:00;20/11/2013 00:00:00;08/11/2018 00:00:00
1093607;K;23131572;0135021049;-2,14;-1,74;-0,4;-1,42;21/10/2013 00:00:00;04/11/2013 00:00:00;08/11/2018 00:00:00
1093607;K;23117945;1335019420;-0,65;-0,53;-0,12;-0,65;24/10/2013 00:00:00;04/11/2013 00:00:00;08/11/2018 00:00:00
1093772;K;23050793;0135021070;-2,78;-2,27;-0,51;-2,78;21/10/2013 00:00:00;04/11/2013 00:00:00;08/11/2018 00:00:00
